Question,Options
下列关于内生肌酐清除率的叙述，正确的是,"A 肾功能严重损害时，开始升高
B 高于80ml/分提示预后不良
C 肾功能损害愈重，其清除率愈低
D 肾功能损害愈重，其清除率愈高
E 其测定与肾功能损害程度无关"
下列关于甲状腺功能亢进症的叙述，正确的是,"A T3、T4均增高时，才能诊断
B T4、T3均降低时，才能诊断
C 仅有T3增高也可诊断
D T3增高时，T4则降低
E 以上均非"
血清总胆红素、结合胆红素、非结合胆红素均中度增加，可见于,"A 蚕豆病
B 胆石症
C 珠蛋白生成障碍性贫血
D 急性黄疸性肝炎
E 胰头癌"
成人血清钠的正常值是,"A 110～120mmol/L
B 121～130mmol/L
C 135～145mmol/L
D 150～155mmol/L
E 156～160mmol/L"
正常人尿中可以偶见的管型是,"A 红细胞管型
B 白细胞管型
C 上皮细胞管型
D 透明管型
E 蜡样管型"
对诊断急性胰腺炎最有价值的血清酶检查是,"A 谷草转氨酶
B 淀粉酶
C 碱性磷酸酶
D 谷丙转氨酶
E 乳酸脱氢酶"
尿沉渣镜检每高倍视野多少个白细胞即视为异常,"A >3个
B >1个
C >5个
D >8个
E >10个"
下列可引起中性粒细胞病理性增多的是,"A 麻疹
B 急性溶血
C 恶性组织细胞病
D 系统性红斑狼疮
E 脾功能亢进"
下列哪种病变通常不出现蛋白尿,"A 化脓性扁桃体炎引起的高热
B 高血压病(3级)
C 妊娠中毒症
D 缺血性心脏病(心绞痛发作时)
E 慢性右心功能不全"
天门冬氨酸氨基转移酶（AST）的正常参考值为,"A ＜10U/L
B ＜20U/L
C ＜30U/L
D ＜40U/L
E ＜50U/L"
引起病理性血糖升高的原因不包括下列哪种疾病,"A 甲状腺功能亢进症
B 嗜铬细胞瘤
C 糖尿病
D 肾上腺皮质功能亢进症
E 胰岛细胞瘤"
患者，男，55岁。劳累及情绪激动后，多次出现短时间胸骨后疼痛，下列哪项血清检查对明确诊断最有参考意义,"A 钾
B 钠
C 氯化物
D 钙
E 胆固醇及甘油三脂"
病理性蛋白尿，可见于,"A 剧烈活动后
B 严重受寒
C 直立性蛋白尿
D 妊娠中毒
E 以上均非"
血白细胞总数增多，可见于,"A 伤寒杆菌感染
B 再生障碍性贫血
C 急性失血
D 使用氯霉素的影响
E 脾功能亢进"
下列情况，不出现尿酮体阳性的是,"A 饥饿状态
B 暴饮暴食
C 妊娠剧烈呕吐
D 糖尿病酮症酸中毒
E 厌食症"
骨髓细胞内出现Auer小体常见于,"A 急性淋巴细胞白血病
B 急性粒细胞白血病
C 慢性粒细胞白血病
D 溶血性贫血
E 系统性红斑狼疮"
对诊断心肌梗死最有意义的是,"A 淀粉酶
B 血清转氨酶
C 谷氨酰基转肽酶
D 血清碱性磷酸酶
E 肌酸磷酸激酶"
