Question,Options
"患者往来寒热,胸胁苦满,默默不欲饮食,心烦喜呕,口苦,咽干,目眩,苔薄白,脉弦。治当首选","A 蒿芩清胆汤
B 小柴胡汤
C 逍遥散
D 半夏泻心汤
E 大柴胡汤"
小柴胡汤的组成药物中不含有的是,"A 柴胡
B 黄芩
C 干姜
D 人参
E 大枣"
"清胆利湿,和胃化痰的方剂是","A 青蒿鳖甲汤
B 茵陈蒿汤
C 半夏泻心汤
D 四逆散
E 蒿芩清胆汤"
逍遥散与一贯煎相同的功用是,"A 和营
B 益气
C 滋阴
D 疏肝
E 补脾"
小柴胡汤中和解少阳的药物配伍是,"A 柴胡、半夏
B 柴胡、人参
C 柴胡、黄芩
D 半夏、生姜
E 人参、大枣"
具有辛开苦降，补泻兼施特点的方剂是,"A 半夏泻心汤
B 半夏厚朴汤
C 吴茱萸汤
D 左金丸
E 小陷胸汤"
薄荷在逍遥散中的作用是,"A 疏散肺经风热
B 透达肝经郁热
C 辛凉散邪利咽
D 清利头目利咽
E 辛凉解表疏肝"
逍遥散中配伍薄荷的用意是,"A 疏肝解郁
B 散肝透邪
C 疏郁透邪
D 疏肝散热
E 清利头目"
体现寒热并用、辛开苦降、消补兼施配伍特点的方剂是,"A 半夏泻心汤
B 生姜泻心汤
C 甘草泻心汤
D 健脾丸
E 枳实消痞丸"
半夏泻心汤的组成药物除半夏、人参、炙甘草、干姜、大枣外，还有,"A 黄连  黄柏
B 栀子  连翘
C 黄连  黄芩
D 柴胡   枳壳
E 黄芩  黄柏"
主治肝郁血虚脾弱证的方剂是,"A 一贯煎
B 逍遥散
C 四逆散
D 柴胡疏肝散
E 痛泻要方"
药物组成中含有柴胡和人参的方剂是,"A 小柴胡汤
B 半夏泻心汤
C 大柴胡汤
D 四逆散
E 柴胡疏肝散"
四逆散的功用是,"A 透邪解郁、疏肝理脾
B 透邪解郁、补脾泻肝
C 透邪解郁、理气和中
D 疏肝解郁、健脾和胃
E 疏肝解郁、行气和血"
四逆散与四逆汤的组成中均含有药物是,"A 茯苓
B 附子
C 白术
D 甘草
E 人参"
大柴胡汤中配伍大黄的主要意义是,"A 内泻热结
B 活血祛瘀
C 和解清热
D 泻火除湿
E 缓急止痛"
上述反佐药涵义的表述，正确的是,"A 针对主病或主证起主要治疗作用
B 针对重要的兼病或兼证起主要治疗作用
C 针对次要兼证起直接治疗作用
D 消减或制约君、臣药的毒性和峻烈之性
E 防止病重邪甚时药病格拒"
由逍遥散变化为黑逍遥散，属于,"A 药物加减的变化
B 药量增减的变化
C 剂型更换的变化
D 药物加减和药量增减变化的联合运用
E 药量增加和剂型更换变化的联合运用"
上述佐助药涵义的表述，正确的是,"A 针对主病或主证起主要治疗作用
B 针对重要的兼病或兼证起主要治疗作用
C 针对次要兼证起直接治疗作用
D 消减或制约君、臣药的毒性和峻烈之性
E 防止病重邪甚时药病格拒"
胸胁支满，目眩心悸，短气而咳，舌苔白滑，脉弦滑者，治宜选用,"A 十枣汤
B 五苓散
C 真武汤
D 五皮散
E 苓桂术甘汤"
药物组成中含有白术，茯苓的方剂是,"A 五苓散
B 补中益气汤
C 小建中汤
D 真人养脏汤
E 猪苓汤"
二妙散的功用是,"A 清热利水
B 清热燥湿
C 清热养阴
D 利湿消肿
E 解毒化湿"
实脾散的功用是,"A 健脾和胃，消食止泻
B 益气健脾，渗湿止泻
C 健脾和胃，消痞除满
D 温阳健脾，行气利水
E 燥湿运脾，行气和胃"
平胃散与藿香正气散组成中均含有的药物是,"A 陈皮、白术
B 陈皮、厚朴
C 陈皮、苍术
D 厚朴、苍术
E 白术、厚朴"
羌活胜湿汤与独活寄生汤共同功效,"A 祛风湿止泻
B 祛风湿止痛
C 袪风胜湿淸热
D 祛风胜湿化痰
E 祛风湿，补肝肾"
实脾散的功效是,"A 利水渗湿，温阳化气
B 温阳健脾，行气利水
C 解表化湿，理气和中
D 温阳利水
E 温中散寒，行气散满"
患者，男，41岁。一身面目俱黄，黄色鲜明，腹微满，口渴，小便不利，舌苔黄腻，脉沉数。治疗应首选,"A 三仁汤
B 茵陈蒿汤
C 萆解分清饮
D 蒿芩清胆汤
E 甘露消毒丹"
实脾散的组成药物中含有,"A 干姜、乌梅
B 槟榔、芍药
C 附子、木香
D 白术、五味子
E 茯苓、五倍子"
下列方剂中羌活、独活同用的是,"A 羌活胜湿汤、败毒散
B 仙方活命饮、济川煎
C 龙胆泻肝汤、黄龙汤
D 逍遥散、参苓白术散
E 羚角钩藤汤、小柴胡汤"
实脾散的功效是,"A 利水渗湿，清热养阴
B 温肾利湿，分清化浊
C 温阳健脾，行气利水
D 利水消肿，理气健脾
E 利湿化浊，清热解毒"
藿香正气散组成中含有的药物是,"A 白术，陈皮
B 苍术，半夏
C 大腹皮，人参
D 桔梗，山药
E 猪苓，白芷"
三仁汤中具有“宣上、畅中、渗下”作用的药物是,"A 杏仁、草蔻仁、薏苡仁
B 杏仁、白蔻仁、冬瓜仁
C 杏仁、白蔻仁、薏苡仁
D 杏仁、桃仁、薏苡仁
E 桃仁、白蔻仁、薏苡仁"
患者小便不利，发热，口渴欲饮，心烦不寐，证属水热互结，治疗应首选,"A 五苓散
B 猪苓汤
C 小蓟饮子
D 八正散
E 导赤散"
患者，男，30岁。水肿，汗出恶风，身重，小便不利，舌淡苔白，脉浮。治疗应首选,"A 十枣汤
B 舟车丸
C 五苓散
D 防己黄芪汤
E 猪苓汤"
下列哪项不是八正散主治证的症状,"A 小腹急满
B 小便涩痛
C 恶心呕吐
D 舌苔黄腻
E 脉数有力"
猪苓汤组成中含有的药物是,"A 泽泻，丹参
B 茯苓，牡丹皮
C 阿胶，白术
D 滑石，山药
E 茯苓，滑石"
连翘败毒散治疗紫癜,"A 风热伤络证
B 血热妄行证
C 气不摄血证
D 阴虚火旺证
E 气滞血瘀证"
使君子散治疗,"A 虫瘕证
B 肠虫症
C 蛔厥证
D 蛲虫病
E 绦虫病"
下列方剂中生地和熟地同用的是,"A 百合固金汤
B 镇肝熄风汤
C 羚角钩藤汤
D 川芎茶调撒
E 大定风珠"
麦门冬汤中配伍粳米、大枣、甘草的意义有,"A 佐金平木
B 培土生金
C 扶土抑木
D 滋水涵木
E 益火补土"
玉液汤的功用有,"A 止渴
B 止遗
C 止痢
D 止泄
E 止咳"
百合固金汤的主治证候中常见,"A 咳痰带血
B 干咳无痰
C 咳痰黄稠
D 咯痰不爽
E 咳喘不利"
玉液汤的组成药物中含有,"A 鸡内金
B 麦芽
C 山楂
D 莱菔子
E 神曲"
患者头微痛，恶寒无汗，咳嗽痰稀鼻塞嗌干，舌苔白，脉弦。治疗应首选,"A 杏苏散
B 麻黄汤
C 止嗽散
D 小青龙汤
E 桑杏汤"
患者，女，18岁。感冒后身热不甚，干咳无痰，咽干口渴，右脉数大。治疗应首选,"A 杏苏散
B 泻白散
C 桑菊饮
D 桑杏汤
E 止嗽散"
含有生地、麦冬、玄参的方剂是,"A 杏苏散
B 清燥救肺汤
C 桑杏汤
D 麦门冬汤
E 养阴清肺汤"
下列各项，不属清燥救肺汤组成的药物是,"A 石膏
B 石斛
C 桑叶
D 阿胶
E 人参"
麦门冬汤组成中麦门冬与半夏的比例是,"A 9:1
B 7:1
C 5:1
D 3:1
E 1：1"
百合固金汤所治阴虚证的主要脏腑是,"A 肺、肾
B 肝、胃
C 心、肝
D 脾、胃
E 肺、胃"
下列各项，不属于百合固金汤药物组成的是,"A 熟地、生地、
B 知母、沙参
C 桔梗、玄参
D 贝母、麦冬
E 当归、百合"
麦门冬汤的功用是,"A 滋阴润肺，益气补脾
B 养阴清肺，解毒利咽
C 清养肺胃，降逆下气
D 滋阴填精，益气壮阳
E 滋阴益气，固肾止渴"
增液汤的组成药物中含有,"A 党参
B 白参
C 玄参
D 沙参
E 丹参"
下列组成药物中含有生黄芪与当归的方剂是,"A 仙方活命饮
B 四妙勇安汤
C 透脓散
D 阳和汤
E 复元活血汤"
大黄牡丹汤中配伍大黄的主要目的是,"A 泻热降火解毒
B 泻热凉血止血
C 泻热荡涤通便
D 泻除湿热瘀结
E 荡涤凝瘀败血"
具有解表通便作用的方剂是,"A 麻黄杏仁甘草石膏汤
B 葛根黄芩黄连汤
C 防风通圣散
D 大柴胡汤
E 凉膈散"
下列除哪项外，均是防风通圣散主治病证的临床表现,"A 憎寒壮热
B 头目眩晕
C 目赤睛痛
D 大便秘结
E 郁郁微烦"
白果在定喘汤中的作用是,"A 散寒平喘
B 敛肺定喘
C 清泻肺热
D 止咳化痰
E 降气平喘"
旋覆代赭汤证的病因病机是,"A 痰热内阻，胃失和降
B 食积内停，胃失和降
C 胃虚痰阻，气逆不降
D 胃虚有热，气逆不降
E 胃中虚冷，气逆不降"
半夏厚朴汤中，体现“治痰不理脾胃非其治也”的药物是,"A 半夏
B 厚朴
C 茯苓
D 生姜
E 苏叶"
具有行气散结，降逆化痰功用的方剂是,"A 定喘汤
B 瓜蒌薤白白酒汤
C 半夏厚朴汤
D 苏子降气汤
E 柴胡疏肝散"
旋覆代赭汤的功用不包括,"A 益气
B 降逆
C 和胃
D 止咳
E 化痰"
定喘汤的组成药物中含有,"A 半夏、当归
B 麻黄，杏仁
C 桑白皮、地骨皮
D 黄芩，陈皮
E 苏子、橘红"
属于天台乌药散组成药物的是,"A 川楝子
B 陈皮
C 草豆蔻
D 肉桂
E 厚朴"
越鞠丸的组成药物中不含,"A 香附
B 白术
C 神曲
D 川芎
E 梔子"
越鞠丸中行气解郁的药物是,"A 木香
B 沉香
C 香附
D 枳壳
E 厚朴"
具有疏肝行气止痛功用的方剂是,"A 越鞠丸
B 半夏厚朴汤
C 厚朴温中汤
D 旋覆代赭汤
E 天台乌药散"
越鞠丸的功用是,"A 行气和血
B 行气消痞
C 行气散结
D 行气解郁
E 行气止痛"
苏子降气汤中配伍当归和肉桂的意义是,"A 温肾纳气
B 养血补肝
C 温补下虚
D 祛痰止咳
E 温肾祛寒"
金铃子散主治的是,"A 肝郁气滞胁痛
B 肝郁化火胁痛
C 肝郁血虚胁痛
D 肝郁阴虚胁痛
E 肝胆实火胁痛"
定喘汤的功用是,"A 辛凉宣泄、清肺平喘
B 宣肺平喘、清热祛痰
C 降气平喘、祛痰止咳
D 宣降肺气、清热祛痰
E 解表散寒、清热祛痰"
具有行气解郁清热功用的方剂是,"A 越鞠丸
B 半夏厚朴汤
C 厚朴温中汤
D 旋覆代赭汤
E 天台乌药散"
旋覆花、代赭石在旋覆代赭汤中的配伍意义是,"A 温胃化痰止呕
B 平冲降逆止呕
C 祛痰降逆和胃
D 镇冲逆除噫气
E 化痰消食和胃"
瓜蒌薤白白酒汤可用以治疗的病证是,"A 胸痹
B 心悸
C 胁痛
D 眩晕
E 头痛"
旋覆花与代赭石的比例是,"A 9:1
B 7:1
C 5:1
D 3:1
E 1：1"
患者，男，40岁。胃脘胀满而痛，不思饮食，四肢倦怠，舌苔白腻，脉弦滑。治疗应首选,"A 厚朴温中汤
B 平胃散
C 半夏泻心汤
D 旋复代赭汤
E 二陈汤"
小建中汤中配伍芍药的意义是,"A 益阴养血，柔肝缓急
B 养阴复脉，柔肝缓急
C 益气养阴，缓急止痛
D 益气养血，复脉定悸
E 养阴补血，活血通脉"
小建中汤组成含有的药物是,"A 人参，桂枝
B 甘草，干姜
C 生姜，桂枝
D 白术，芍药
E 大枣，人参"
四逆汤与四逆散二方组成中均含有的药物是,"A 柴胡
B 枳实
C 干姜
D 芍药
E 甘草"
患者，男，58岁。胸满而痛，遇冷易诱发，伴下利，口不渴，不欲饮食，舌淡苔白，脉沉细而弦。治疗应选用,"A 大建中汤
B 小建中汤
C 厚朴温中汤
D 吴茱萸汤
E 理中丸"
黄芪桂枝五物汤与当归四逆汤组成中均含有的药物是,"A 生姜、芍药、桂枝
B 大枣、桂枝、生姜
C 黄芪、桂枝、芍药
D 芍药、生姜、大枣
E 桂枝、芍药、大枣"
下列方剂组成药物中，不含有附子的是,"A 实脾散
B 真武汤
C 乌梅丸
D 温脾汤
E 阳和汤"
理中丸除温中补虚外，还具有的功用是,"A 和中缓急
B 降逆止呕
C 降逆止痛
D 养血通脉
E 补气健脾"
当归四逆汤的功用是,"A 温经散寒、养血通脉
B 活血化瘀、通络止痛
C 温阳补血、散寒通滞
D 温经散寒、通络止痛
E 活血化瘀、温经止痛"
手足厥寒，舌淡苔白，脉沉细者，治疗应选用,"A 四逆汤
B 当归四逆汤
C 回阳救急汤
D 右归丸
E 大建中汤"
"患者手足厥寒,或腰、股、腿、足、肩臂疼痛,口不渴,舌淡苔白,脉沉细或细而欲绝。选下列何方治疗最佳","A 四逆汤
B 四逆散
C 当归四逆汤
D 温经汤
E 九味羌活汤"
理中丸证的病机是,"A 中阳不足，肝脾失调
B 中阳不足，阴寒内盛
C 中阳不足，气机不畅
D 中阳不足，运化失权
E 中阳不足，水寒阻遏"
大建中汤的组成药物是,"A 生附子、干姜、肉桂、炙甘草
B 蜀椒、人参、干姜、胶饴
C 蜀椒、人参、干姜、炙甘草
D 蜀椒、生附子、肉桂、胶饴
E 干姜、人参、桂枝、胶饴"
下列各项，不属理中丸主治范围的是,"A 阳虚失血
B 脾胃虚寒之腹痛
C 中焦虚寒之小儿慢惊风
D 肝胃虚寒之胃脘痛
E 脾胃虚寒之胸痹"
吴茱萸汤中不含的药物是,"A 人参
B 大枣
C 吴茱萸
D 生姜
E 甘草"
吴茱萸汤的功用是,"A 温中补虚，理气健脾
B 温中补虚，和里缓急
C 温中补虚，降逆止痛
D 温中补虚，降逆止呕
E 温中补虚，散寒止痛"
温经汤《金匮要略》主治证候的病因病机是,"A 五劳虚极
B 产后血虚受寒
C 冲任虚损
D 下焦蓄血
E 冲任虚寒，瘀血阻滞"
血府逐瘀汤除活血祛瘀外，还具有的功用是,"A 散结消痞
B 温经散寒
C 补气通络
D 行气止痛
E 疏肝解郁"
复元活血汤中配伍大黄的临床意义是,"A 泻热降火解毒
B 泻热凉血止血
C 泻热荡涤通便
D 泻除湿热瘀结
E 荡涤凝瘀败血"
温经汤的君药是,"A 当归、川芎
B 当归、肉桂
C 当归、吴茱萸
D 吴茱萸、桂枝
E 当归、桂枝"
患者，男，68岁。半身不遂，口眼歪斜，语言謇涩，口角流涎，下肢痿废，小便频数，舌苔白，脉缓。治疗应首选,"A 大秦艽汤
B 补中益气汤
C 补阳还五汤
D 牵正散
E 地黄饮子"
患者，男，50岁。便后出血，有时粪中带血，血色鲜红，舌红，脉数。治疗应首选,"A 槐花散
B 黄土汤
C 归脾汤
D 四生丸
E 小蓟饮子"
咳血方的功用是,"A 清热解毒、凉血散瘀
B 凉血止血、利水通淋
C 清肝宁肺、凉血止血
D 清热泻火、利水通淋
E 清热凉血、活血散瘀"
生化汤的功用是,"A 温经散寒，祛瘀养血
B 活血化瘀，温经止痛
C 化瘀生新，行气止痛
D 温中健脾，行气止痛
E 活血化瘀，缓消癥块"
温经汤中配伍桂枝的作用是,"A 解肌发表
B 温通血脉
C 调和营卫
D 温阳散寒
E 降逆平冲"
血府逐瘀汤的功用是,"A 活血祛瘀、行气止痛
B 活血祛瘀、疏肝通络
C 活血祛瘀、养血清热
D 活血祛瘀、散结止痛
E 活血祛瘀、温经止痛"
组成药物中含有炮姜、川芎的方剂是,"A 生化汤
B 温经汤
C 血府逐瘀汤
D 通窍活血汤
E 身痛逐瘀汤"
咳血方与小蓟饮子中均含有的药物是,"A 山栀子
B 青黛
C 炙甘草
D 生地黄
E 滑石"
生化汤除活血化瘀，止痛外，还具有的功用是,"A 祛风
B 温经
C 行气
D 疏肝
E 除湿"
血府逐瘀汤除了活血化瘀外，还具有的功用是,"A 散结止痛
B 温经止痛
C 补气通络
D 行气止痛
E 疏肝通络"
复元活血汤的功效是,"A 补血活血，化瘀生新
B 活血化瘀，消肿止痛
C 祛瘀活血，续筋接骨
D 活血逐瘀，疏肝通络
E 攻下淤血，荡涤胃肠"
患者跌打损伤后，瘀血留于胁下，痛不可忍。治疗应选用,"A 血府逐瘀汤
B 温经汤
C 生化汤
D 复元活血汤
E 大黄䗪虫九"
下列各项，不属于宫颈锥形切除术适应证的是,"A 宫颈轻、中度不典型增生
B 疑有宫颈管内癌变
C 宫颈刮片多次异常而活检未发现病变
D 宫颈重度糜烂
E 宫颈息肉"
疑有宫颈管病变时，应采取的措施是,"A 清宫术
B 取适量内膜活检
C 测基础体温
D 经行24-48小时刮宫
E 分段诊刮"
下列疾病，不会出现妇科血崩证的是,"A 堕胎
B 崩漏
C 经行吐衄
D 晚期产后出血
E 小产"
下列各项，不属阴道口中医名称的是,"A 廷孔
B 四边
C 子门
D 龙门
E 胞门"
女性生殖器官中，防御外邪入侵的第一道门户是,"A 子门
B 阴道
C 子宫
D 玉门
E 阴户"
子处又称,"A 血海
B 血室
C 胞络
D 胞脉
E 天癸"
属心而络于胞中的经脉是,"A 冲脉
B 胞脉
C 任脉
D 督脉
E 带脉"
阴户是,"A 分泌带下的通道
B 防御外邪入侵的第一道门户
C 排出月经的通道
D 阴阳交合的器官
E 娩出胎儿的路径"
患者，女，35岁，已婚。月经后期，40〜50天一行，量少、色暗、时有血块，小腹较胀，乳房胀痛，舌略暗苔薄，脉弦。其证候是,"A 血寒
B 血虚
C 肾虚
D 气滞
E 血瘀"
崩漏的治疗原则是,"A 塞流与澄源结合
B 澄源与复旧结合
C 复旧与塞流结合
D 固本与澄源结合
E 急则治标，缓则治本"
患者，女，25岁，已婚。月经周期先后不定，量多如注，持续十余日不净，婚后1年半，未避孕未孕。可诊断为,"A 月经先后无定期
B 崩漏
C 月经过多
D 经期延长
E 不孕症"
经行发热之瘀热壅阻证的治法为,"A 活血祛瘀
B 化瘀清热
C 凉血养血
D 疏风活血
E 养血活血"
下列哪项不属于痛经的表现,"A 经前小腹及腰部疼痛
B 月经周期正常，两次行经之间突然腹痛
C 月经净后腰腹疼痛
D 经期小腹刺痛
E 行经期间，小腹剧痛难忍，伴面白，汗出，手冷，每次行经均有同样症状解"
下列哪项不是月经过少痰湿证的主要临床表现,"A 形体肥胖
B 胸闷呕恶
C 带下量多、质粘腻
D 经期延后、量少
E 经色黯红、质稠"
"一妇人50岁绝经。绝经2年后经水复来,血量较多,色淡质稀,小腹空坠,神疲乏力,气短懒言,面色白,舌淡红,苔薄白,脉缓弱，其治疗最佳方剂是","A 补中益气汤
B 举元煎
C 安老汤
D 四君子汤
E 陈夏六君子汤"
患者，女，19岁，未婚。月经提前，量少、色红、质黏稠，伴手足心热，两颧潮红，舌红少苔，脉细数。治疗应首选,"A 大补元煎
B 丹栀逍遥散
C 清经散
D 保阴煎
E 两地汤"
痛经寒湿凝滞证的治法是,"A 理气化瘀止痛
B 温经暖宫止痛
C 温经活血，调经止痛
D 温经除湿，调经止痛
E 温经化痰，利湿止痛"
患者，女，22岁，未婚。经期延后，量少、色暗、有血块，腹痛喜热，畏寒，舌暗苔白，脉沉紧。其治法是,"A 暖宫止痛调经
B 理气止痛调经
C 活血行气调经
D 扶阳祛寒调经
E 温经散寒调经"
治疗经行泄泻肾虚证，应首选,"A 补中益气汤
B 香砂六君子汤
C 人参养营汤
D 参苓白术散
E 健固汤合四神丸"
闭经虚证的发病机制是,"A 多产房劳或久病伤肾
B 血海空虚，无血可下
C 脾胃虚弱，化源不足
D 思虑过度，损伤心脾
E 素体阴虚或久病伤血"
肝火引起经行头痛的特点是,"A 头晕，头部绵绵作痛
B 巅顶掣痛，头晕目眩
C 头痛剧烈，痛如锥刺
D 头部胀痛重着
E 头痛如裹，头晕目眩"
患者，女，20岁，未婚。月经淋沥20日不止，色淡红，质清稀，面色晦黯，头晕耳鸣，腰腿酸软，倦怠乏力，舌淡黯，苔白润，脉沉弱。治疗应首选,"A 八珍汤
B 归脾汤
C 加减苁蓉菟丝子丸
D 右归丸
E 加减一阴煎"
《素问·阴阳别论》有“二阳之病发心脾，有不得隐曲，女子不月”的记载，指出闭经与哪些脏器有关,"A 心、肝、脾
B 肝、脾
C 肺、脾、肾
D 心、脾、肾
E 心、肺、肾"
患者，女，28岁。近2个月经量渐减，点滴即止，胸闷呕恶，带下量多，形体肥胖，舌淡苔白腻，脉滑。其诊断是,"A 月经过少血瘀证
B 带下病脾虚证
C 月经过少痰湿证
D 月经过少阴虚证
E 月经过少血虚证"
气滞血瘀而致痛经，经期最佳治法是,"A 理气行滞，调经止痛
B 理气行滞，化瘀止痛
C 疏肝理气，行滞止痛
D 理气行滞，活血调经
E 疏肝理气，活血行滞"
患者月经每提前8～9天来潮，量多，色深红，质黏稠，伴心烦，面红口干，小便短黄，大便燥结，舌红，苔黄，脉数。其治法是,"A 清热凉血调经
B 清热凉血止血
C 养阴清热调经
D 清肝解郁凉血
E 清热凉血固冲"
下列哪项不是月经先期气虚证的临床特点,"A 月经量多
B 月经色淡
C 月经质稀
D 舌淡，脉弱
E 月经提前7天"
患者，女，27岁，未婚。月经周期33天，经期持续8〜10余天，量少，色红，质稠，伴经行腹痛隐隐。平时乳房胀痛。应首先考虑的是,"A 经行乳房胀痛
B 月经后期
C 经期延长
D 痛经
E 漏下"
患者，女，27岁，已婚。月经周期提前量多，色淡，质稀，神疲乏力，小腹空坠，纳少便溏。其证候是,"A 气虚
B 血虚
C 血热
D 湿热
E 血瘀"
治疗月经过多血热证，应首选,"A 举元煎
B 大补元煎
C 保阴煎
D 固阴煎
E 失笑散"
"治疗痛经气滞血瘀证,应首选的方剂是","A 血府逐瘀汤
B 膈下逐瘀汤
C 少腹逐瘀汤
D 桃红四物汤
E 温经散寒汤"
治疗经行头痛血瘀证，应首选,"A 丹栀逍遥散
B 乌药汤
C 通窍活血汤
D 天仙藤散
E 龙胆泻肝汤"
下列哪项是固本止崩汤的组成药物,"A 人参、黄苗、白术、熟地黄、当归、干姜
B 人参、黄芪、白术、熟地黄、当归、生姜
C 人参、黄芪、白术、生地黄、当归、干姜
D 人参、黄芪、白术、熟地黄、当归、黑姜
E 人参、黄芪、白术、生地黄、当归、黑姜"
下列除哪项外均属于虚性闭经的病因病机,"A 肝肾不足
B 痰湿阻滞
C 气血虚弱.
D 阴虚血燥
E 脾虚血少"
患者，女，26岁，已婚。月经35天一行，量少、色淡、质稀，每于行经出现大便泄泻，腰酸畏寒，四肢不温，带下清稀如水，舌淡苔白，脉沉迟。其证候是,"A 脾虚
B 肾虚
C 湿热
D 寒湿
E 肝木乘脾"
闭经的病因病机，下列哪一项是错误的,"A 肾气未充，或肾精亏损，气血不足，血海不能满溢
B 气虚血弱，冲任血少，血海空虚
C 气滞血瘀，冲任受限
D 痰湿阻滞，胞脉阻塞
E 以上都不是"
患者，女，30岁。平素体弱多病，易疲倦，月经周期常常推迟7天以上，量少，色淡红，质清稀，伴小腹隐痛，喜温喜按，舌淡，苔白，脉细弱。其治疗时，方剂宜选,"A 理中丸
B 吴茱萸汤
C 大补元煎
D 桃红四物汤
E 温经汤"
下列哪项不是清热调血汤的组成药物,"A 当归、川芎、白芍、生地
B 元胡、香附
C 黄柏
D 桃仁、红花、莪术、丹皮
E 黄连"
患者，女，19岁，未婚。经来先期，量少，色红，质稠；手足心热，咽干口燥；舌质红，苔少，脉细数。治疗应首选,"A 清经散
B 丹栀逍遥散
C 两地汤
D 固阴煎
E 归肾丸"
患者，女，51岁。月经不规律，精神萎靡，头晕耳鸣，腰痛如折，腹冷阴坠，形寒肢冷，淡苔白滑，脉沉细而迟。其治法是,"A 滋肾益阴
B 滋阴潜阳
C 益肾清肝
D 补肾扶阳，益养冲任
E 温肾壮阳，填精养血"
痛经的治疗原则是,"A 调理冲任气血
B 温经暖宫止痛
C 益肾养肝止痛
D 益气补血止痛
E 理气化瘀止痛"
"治疗月经过少血瘀证,应首选","A 滋血汤
B 归肾丸
C 桃红四物汤
D 乌药汤
E 苍附导痰丸"
患者，女，33岁，已婚。每于经期大便溏泄，脘腹胀满，神疲肢软，舌淡苔薄白，脉濡滑。治疗应首选,"A 参苓白术散
B 健固汤
C 柴胡疏肝散
D 痛泻要方
E 四苓散"
崩漏的治疗，应本着的原则,"A 治崩三法
B 急则治其标，缓则治其本
C 辨证论治
D 补气摄血
E 或补肾，或扶脾，或疏肝"
温经汤《妇人大全良方》的组成药物有,"A 白芍、生地、当归、麦冬、沙参、枸杞子
B 白芍、当归、丹皮、川芎、牛膝、莪术
C 白芍、熟地、丹皮、黄柏、青蒿、茯苓
D 白芍、生地、地骨皮、麦冬、玄参、阿胶
E 白芍、生地、当归、丹皮、沙参、茯苓"
患者，女，32岁，已婚。经行肢体肿胀，按之随手而起，经色黯红有块，伴脘闷胁胀，善叹息，舌紫黯，苔薄白，脉弦涩。治疗应首选,"A 苓桂术甘汤
B 参苓白术散
C 八物汤
D 肾气丸
E 丹栀逍遥丸"
其证候是,"A 肝肾不足
B 气血虚弱
C 肾阳虚弱
D 脾虚
E 阴虚血燥"
经行头痛的治法是,"A 补益精血
B 温经泻火
C 调理气血，通经活络
D 补益肝肾
E 解表清里"
患者经血非时而下，出血量时多时少，时出时止已月余，经色紫暗，有血块，小腹疼痛，舌质紫暗，边有瘀点，脉弦涩。治疗应首选的方剂是,"A 逐瘀止血汤
B 桃红四物汤
C 失笑散
D 少腹逐瘀汤
E 血府逐瘀汤"
月经经期正常，经量增多伴神疲体倦，气短懒言，治疗宜用,"A 参苓白术散
B 补中益气汤
C 举元煎
D 理中丸
E 归脾丸"
下列项不是月经先期肝郁血热证的主症,"A 月经提前8天
B 经量或多或少
C 经色淡、质稀
D 心烦易怒
E 口苦咽干"
患者，女，20岁，未婚。近4个月月经提前8〜10天，量多、色淡、质稀，神疲肢倦，小腹空坠，舌淡，脉缓弱，诊为月经先期。其证候是,"A 气虚
B 脾虚
C 肾虚
D 血虚
E 阴虚"
圣愈汤治疗痛经的适应证是,"A 气血虚弱
B 肾亏损
C 心肝血虚
D 血虚气滞
E 气滞血瘀"
下列除哪项外，均是经期延长血瘀证的主症,"A 经行8〜10天始净
B 月经量少、色暗、有块
C 小腹疼痛拒按
D 腰酸腿软
E 舌紫暗，脉弦涩"
虚寒证月经后期的最佳治法是,"A 扶阳祛寒调经
B 祛寒除湿调经
C 散寒祛瘀调经
D 温补肾阳调经
E 温中散寒调经"
顺经汤的组成是,"A 当归，生地，白芍，丹皮，栀子，茜草，白茅根
B 人参，麦冬，山药，半夏，大枣，甘草，丹参
C 栀子，赤茯苓，当归，黄芩，白芍，生地，泽泻
D 当归，熟地，沙参，白芍，茯苓，黑荆芥，丹皮
E 生地，当归，川芎，蒲黄，牛膝，白芍，甘草梢"
经间期出血量少，色紫黑，有小血块，少腹胀痛。治疗应首选,"A 知柏地黄汤
B 清肝止淋汤
C 血府逐瘀汤
D 解毒活血汤
E 逐瘀止血汤"
下列各项，不属月经先后不定期肾虚证主要症状的是,"A 经行或先或后
B 月经量少色淡暗
C 小腹冷痛拒按
D 头晕耳鸣腰痛
E 舌淡苔白，脉细弱"
治疗月经后期虚寒证，应首选,"A 温经汤（《妇人大全良方》）
B 温经汤（《金匮要略》）
C 血府逐瘀汤
D 艾附暖宫丸
E 少腹逐瘀汤"
患者，女，46岁。月经紊乱近1年，先后不定期，量少、色红，伴烘热汗出，烦躁易怒，头晕耳鸣，舌红少苔，脉细数。治疗应首选,"A 左归丸
B 六味地黄丸
C 左归饮合二至丸
D 知柏地黄丸
E 归肾丸"
治疗经间期出血肾阴虚证，应选,"A 清肝止淋汤
B 左归丸
C 两地汤合二至丸
D 逐瘀止血汤
E 调肝汤"
患者，女，32岁，已婚。患痛经2年，每于行经第1〜2天，小腹冷痛，喜热，拒按，经量少色暗，有块，舌苔白腻，脉沉紧。其证候是,"A 气滞血瘀
B 阳虚内寒
C 湿热下注
D 肝肾虚损
E 寒湿凝滞"
